INDEX,RESP_THORAX,RESP_ABDOMEN,ACC_VERTICAL,ACC_HORIZONTAL,TIME
0,52904.0,39064.0,27448.0,32440.0,0.0
1,50636.0,38464.0,27348.0,31928.0,0.02
2,48392.0,38592.0,27208.0,31576.0,0.04
3,46480.0,38524.0,27596.0,31468.0,0.06
4,44836.0,38264.0,27800.0,31520.0,0.08
5,42904.0,38360.0,27416.0,31244.0,0.1
6,40056.0,39352.0,27288.0,31080.0,0.12
7,36376.0,41864.0,27264.0,31388.0,0.14
8,32184.0,44392.0,27298.0,30904.0,0.16
9,28272.0,47192.0,27828.0,29876.0,0.18
10,24880.0,49744.0,27968.0,30048.0,0.2
11,21960.0,51628.0,27440.0,30244.0,0.22
12,19360.0,52704.0,27336.0,30456.0,0.24
13,17096.0,52900.0,26788.0,31188.0,0.26
14,15120.0,53720.0,25964.0,32433.0,0.28
15,13385.0,54416.0,27784.0,34696.0,0.3
16,11852.0,55168.0,26252.0,31128.0,0.32
17,10504.0,56368.0,26904.0,28156.0,0.34
18,9324.0,56840.0,27216.0,32984.0,0.36
19,8538.0,55944.0,27028.0,33172.0,0.38
20,8196.0,53224.0,27400.0,32660.0,0.4
21,8281.0,49984.0,27136.0,32976.0,0.42
22,8912.0,47040.0,27076.0,32984.0,0.44
23,9250.0,44568.0,27092.0,32640.0,0.46
24,9008.0,42532.0,27168.0,32760.0,0.48
25,8213.0,40072.0,27160.0,32672.0,0.5
26,7184.0,38336.0,27264.0,32712.0,0.52
27,6338.0,38776.0,27336.0,32832.0,0.54
28,5599.0,41416.0,27336.0,32748.0,0.56
29,5079.0,43976.0,27368.0,32868.0,0.58
30,5026.0,45792.0,27424.0,32848.0,0.6
31,5467.0,46704.0,27420.0,32868.0,0.62
32,6592.0,47824.0,27356.0,32728.0,0.64
33,7822.0,48268.0,27356.0,32732.0,0.66
34,8961.0,48168.0,27372.0,32848.0,0.68
35,10124.0,48288.0,27424.0,32664.0,0.7
36,11112.0,48672.0,27336.0,32464.0,0.72
37,11684.0,48904.0,27360.0,32864.0,0.74
38,11978.0,48524.0,27348.0,32852.0,0.76
39,12188.0,47448.0,27340.0,32876.0,0.78
40,12672.0,46432.0,27360.0,32784.0,0.8
41,13276.0,45880.0,27304.0,32628.0,0.82
42,13661.0,45444.0,27400.0,32644.0,0.84
43,13700.0,46416.0,27352.0,32576.0,0.86
44,13456.0,47072.0,27352.0,32560.0,0.88
45,13172.0,47272.0,27360.0,32608.0,0.9
46,12620.0,48140.0,27372.0,32584.0,0.92
47,12464.0,48752.0,27352.0,32568.0,0.94
48,13172.0,49544.0,27360.0,32556.0,0.96
49,14010.0,49832.0,27364.0,32568.0,0.98
50,14928.0,49684.0,27360.0,32624.0,1.0
51,15560.0,49272.0,27376.0,32632.0,1.02
52,15988.0,48428.0,27364.0,32624.0,1.04
53,16302.0,46628.0,27352.0,32640.0,1.06
54,16584.0,44580.0,27344.0,32636.0,1.08
55,16854.0,43040.0,27360.0,32632.0,1.1
56,17088.0,42644.0,27376.0,32644.0,1.12
57,17248.0,42544.0,27352.0,32660.0,1.14
58,17401.0,42624.0,27356.0,32644.0,1.16
59,17808.0,41928.0,27352.0,32632.0,1.18
60,18252.0,40400.0,27356.0,32624.0,1.2
61,18584.0,39060.0,27356.0,32632.0,1.22
62,18872.0,37568.0,27356.0,32632.0,1.24
63,19152.0,36264.0,27356.0,32616.0,1.26
64,19260.0,34684.0,27356.0,32644.0,1.28
65,19292.0,33720.0,27344.0,32656.0,1.3
66,19700.0,32612.0,27360.0,32668.0,1.32
67,20040.0,31736.0,27352.0,32660.0,1.34
68,20088.0,29984.0,27336.0,32656.0,1.36
69,19820.0,27744.0,27356.0,32680.0,1.38
70,19284.0,24360.0,27336.0,32668.0,1.4
71,18612.0,21558.0,27344.0,32640.0,1.42
72,17640.0,18900.0,27348.0,32688.0,1.44
73,16492.0,16758.0,27344.0,32660.0,1.46
74,15016.0,14708.0,27328.0,32704.0,1.48
75,13378.0,12972.0,27344.0,32676.0,1.5
76,11924.0,11584.0,27320.0,32660.0,1.52
77,11045.0,10192.0,27344.0,32708.0,1.54
78,10740.0,8985.0,27328.0,32696.0,1.56
79,10683.0,7890.0,27336.0,32724.0,1.58
80,10806.0,6910.0,27344.0,32708.0,1.6
81,11140.0,6072.0,27340.0,32720.0,1.62
82,11886.0,5384.0,27332.0,32720.0,1.64
83,12517.0,4658.0,27344.0,32712.0,1.66
84,13372.0,4207.0,27340.0,32720.0,1.68
85,14978.0,3828.0,27328.0,32712.0,1.7
86,17153.0,3342.0,27340.0,32716.0,1.72
87,19332.0,3034.0,27328.0,32724.0,1.74
88,21680.0,2839.0,27328.0,32720.0,1.76
89,23580.0,2311.0,27328.0,32732.0,1.78
90,24786.0,2127.0,27340.0,32704.0,1.8
91,25376.0,1891.0,27324.0,32714.0,1.82
92,25408.0,1761.0,27320.0,32720.0,1.84
93,24976.0,1453.0,27320.0,32712.0,1.86
94,24620.0,1352.0,27332.0,32704.0,1.88
95,24860.0,1130.0,27324.0,32716.0,1.9
96,25672.0,1120.0,27336.0,32692.0,1.92
97,26580.0,934.0,27336.0,32684.0,1.94
98,27352.0,803.0,27332.0,32648.0,1.96
99,27908.0,722.0,27360.0,32660.0,1.98
100,28168.0,784.0,27332.0,32664.0,2.0
101,27784.0,620.0,27344.0,32684.0,2.02
102,27868.0,565.0,27320.0,32672.0,2.04
103,28364.0,625.0,27328.0,32660.0,2.06
104,28968.0,540.0,27328.0,32704.0,2.08
105,29376.0,608.0,27336.0,32684.0,2.1
106,30060.0,1263.0,27344.0,32680.0,2.12
107,30904.0,1891.0,27328.0,32676.0,2.14
108,31760.0,2498.0,27336.0,32664.0,2.16
109,32684.0,3362.0,27336.0,32680.0,2.18
110,33536.0,3630.0,27340.0,32668.0,2.2
111,34336.0,3972.0,27320.0,32668.0,2.22
112,35080.0,4107.0,27336.0,32680.0,2.24
113,35836.0,4224.0,27332.0,32664.0,2.26
114,36736.0,4289.0,27332.0,32668.0,2.28
115,37672.0,4162.0,27344.0,32664.0,2.3
116,38392.0,3796.0,27324.0,32668.0,2.32
117,38924.0,3335.0,27336.0,32664.0,2.34
118,39296.0,2804.0,27348.0,32664.0,2.36
119,39568.0,2307.0,27332.0,32672.0,2.38
120,39876.0,2001.0,27348.0,32656.0,2.4
121,40472.0,1851.0,27344.0,32684.0,2.42
122,41144.0,1552.0,27336.0,32672.0,2.44
123,41644.0,1278.0,27344.0,32676.0,2.46
124,42552.0,1213.0,27328.0,32672.0,2.48
125,43440.0,1088.0,27320.0,32684.0,2.5
126,44004.0,1018.0,27328.0,32688.0,2.52
127,44504.0,921.0,27328.0,32672.0,2.54
128,45072.0,751.0,27328.0,32664.0,2.56
129,45872.0,842.0,27328.0,32684.0,2.58
130,46936.0,845.0,27328.0,32688.0,2.6
131,48248.0,1387.0,27336.0,32680.0,2.62
132,49636.0,2368.0,27332.0,32664.0,2.64
133,51008.0,3935.0,27316.0,32672.0,2.66
134,52248.0,6308.0,27328.0,32680.0,2.68
135,53232.0,10328.0,27332.0,32688.0,2.7
136,53856.0,15628.0,27344.0,32672.0,2.72
137,53984.0,21526.0,27356.0,32660.0,2.74
138,53152.0,26820.0,27332.0,32708.0,2.76
139,52432.0,31700.0,27336.0,32688.0,2.78
140,51440.0,35800.0,27340.0,32680.0,2.8
141,49496.0,39556.0,27364.0,32680.0,2.82
142,47368.0,42616.0,27364.0,32668.0,2.84
143,45504.0,45352.0,27368.0,32656.0,2.86
144,43632.0,47704.0,27360.0,32672.0,2.88
145,41816.0,49464.0,27376.0,32652.0,2.9
146,39984.0,51264.0,27348.0,32672.0,2.92
147,38376.0,53040.0,27344.0,32684.0,2.94
148,36984.0,54528.0,27356.0,32692.0,2.96
149,35808.0,55976.0,27364.0,32680.0,2.98
150,34904.0,57136.0,27368.0,32680.0,3.0
151,34264.0,58064.0,27372.0,32680.0,3.02
152,33624.0,59000.0,27380.0,32680.0,3.04
153,32784.0,59832.0,27360.0,32680.0,3.06
154,31836.0,60536.0,27360.0,32676.0,3.08
155,30724.0,61104.0,27376.0,32668.0,3.1
156,29212.0,61608.0,27364.0,32672.0,3.12
157,27752.0,62136.0,27376.0,32708.0,3.14
158,26696.0,62528.0,27356.0,32704.0,3.16
159,25440.0,62816.0,27360.0,32688.0,3.18
160,24116.0,63072.0,27352.0,32696.0,3.2
161,23172.0,63424.0,27372.0,32696.0,3.22
162,22304.0,63688.0,27368.0,32680.0,3.24
163,21556.0,63356.0,27362.0,32672.0,3.26
164,20912.0,63056.0,27364.0,32668.0,3.28
165,20432.0,62776.0,27356.0,32684.0,3.3
166,20292.0,63008.0,27372.0,32696.0,3.32
167,20336.0,63432.0,27368.0,32680.0,3.34
168,20472.0,63656.0,27352.0,32684.0,3.36
169,20804.0,64032.0,27364.0,32696.0,3.38
170,21284.0,64200.0,27360.0,32692.0,3.4
171,21684.0,64256.0,27360.0,32680.0,3.42
172,21780.0,64424.0,27344.0,32688.0,3.44
173,21580.0,64676.0,27372.0,32688.0,3.46
174,21160.0,64680.0,27348.0,32672.0,3.48
175,20512.0,64856.0,27364.0,32696.0,3.5
176,20400.0,64560.0,27372.0,32688.0,3.52
177,20640.0,64576.0,27360.0,32672.0,3.54
178,20560.0,64304.0,27368.0,32680.0,3.56
179,20572.0,64416.0,27352.0,32680.0,3.58
180,20416.0,64544.0,27368.0,32680.0,3.6
181,20192.0,64672.0,27360.0,32692.0,3.62
182,20200.0,64480.0,27368.0,32696.0,3.64
183,20200.0,64672.0,27360.0,32696.0,3.66
184,20476.0,64740.0,27360.0,32692.0,3.68
185,21029.0,64920.0,27368.0,32684.0,3.7
186,21628.0,64976.0,27360.0,32688.0,3.72
187,22360.0,65056.0,27356.0,32692.0,3.74
188,23192.0,65056.0,27360.0,32692.0,3.76
189,23944.0,65136.0,27360.0,32676.0,3.78
190,24468.0,65112.0,27360.0,32696.0,3.8
191,24632.0,64960.0,27364.0,32684.0,3.82
192,24512.0,64280.0,27364.0,32688.0,3.84
193,23972.0,64384.0,27372.0,32692.0,3.86
194,23352.0,63552.0,27364.0,32684.0,3.88
195,23024.0,62384.0,27364.0,32704.0,3.9
196,22740.0,60312.0,27368.0,32684.0,3.92
197,21996.0,56436.0,27352.0,32688.0,3.94
198,21216.0,51872.0,27360.0,32688.0,3.96
199,20260.0,46792.0,27360.0,32696.0,3.98
200,19224.0,41248.0,27352.0,32684.0,4.0
201,18476.0,36164.0,27368.0,32672.0,4.02
202,17976.0,31616.0,27340.0,32688.0,4.04
203,17832.0,27984.0,27348.0,32680.0,4.06
204,18108.0,24848.0,27344.0,32676.0,4.08
205,18852.0,22036.0,27340.0,32692.0,4.1
206,20020.0,19472.0,27324.0,32704.0,4.12
207,21320.0,17112.0,27340.0,32680.0,4.14
208,22492.0,15044.0,27344.0,32704.0,4.16
209,23488.0,13162.0,27332.0,32708.0,4.18
210,24264.0,11564.0,27352.0,32676.0,4.2
211,24868.0,10340.0,27340.0,32696.0,4.22
212,24980.0,9348.0,27322.0,32696.0,4.24
213,25504.0,8049.0,27332.0,32696.0,4.26
214,26464.0,7410.0,27320.0,32712.0,4.28
215,27376.0,6318.0,27328.0,32696.0,4.3
216,27944.0,5796.0,27344.0,32676.0,4.32
217,28588.0,5601.0,27344.0,32688.0,4.34
218,29192.0,5229.0,27328.0,32696.0,4.36
219,29868.0,4624.0,27329.0,32680.0,4.38
220,30760.0,4036.0,27336.0,32688.0,4.4
221,31584.0,3369.0,27336.0,32696.0,4.42
222,32404.0,3200.0,27340.0,32684.0,4.44
223,33568.0,2671.0,27336.0,32700.0,4.46
224,35040.0,2530.0,27338.0,32672.0,4.48
225,36732.0,2085.0,27324.0,32700.0,4.5
226,38416.0,1963.0,27324.0,32680.0,4.52
227,39672.0,1712.0,27344.0,32676.0,4.54
228,40480.0,1525.0,27344.0,32692.0,4.56
229,41088.0,1453.0,27329.0,32672.0,4.58
230,41304.0,1388.0,27338.0,32672.0,4.6
231,41852.0,1413.0,27340.0,32692.0,4.62
232,42344.0,1359.0,27328.0,32680.0,4.64
233,42512.0,1502.0,27332.0,32688.0,4.66
234,42360.0,1175.0,27332.0,32676.0,4.68
235,42456.0,1279.0,27328.0,32672.0,4.7
236,42832.0,1093.0,27324.0,32676.0,4.72
