INDEX,RESP_THORAX,RESP_ABDOMEN,ACC_VERTICAL,ACC_HORIZONTAL,TIME
0,37624.0,19450.0,26728.0,32760.0,0.0
1,39064.0,24056.0,25692.0,31484.0,0.02
2,40784.0,28508.0,25720.0,33152.0,0.04
3,42192.0,32272.0,24876.0,32344.0,0.06
4,43492.0,34880.0,25364.0,32944.0,0.08
5,45052.0,36968.0,24640.0,33220.0,0.1
6,46328.0,38796.0,27336.0,31472.0,0.12
7,47020.0,40280.0,29048.0,32472.0,0.14
8,47264.0,41544.0,27464.0,29860.0,0.16
9,47616.0,43120.0,28824.0,31304.0,0.18
10,48328.0,44476.0,28888.0,31640.0,0.2
11,49376.0,45704.0,28728.0,32160.0,0.22
12,50720.0,46880.0,28424.0,32032.0,0.24
13,52008.0,48568.0,28464.0,32256.0,0.26
14,52840.0,49904.0,28316.0,32532.0,0.28
15,53192.0,50488.0,28176.0,32568.0,0.3
16,53096.0,50016.0,27696.0,32624.0,0.32
17,52588.0,49704.0,27356.0,33072.0,0.34
18,52104.0,49176.0,27032.0,33137.0,0.36
19,52088.0,48776.0,26648.0,33912.0,0.38
20,52504.0,48656.0,26300.0,34664.0,0.4
21,53864.0,49336.0,25984.0,35216.0,0.42
22,55272.0,50048.0,26236.0,36212.0,0.44
23,56264.0,49884.0,26396.0,37072.0,0.46
24,56768.0,49692.0,26648.0,36880.0,0.48
25,56624.0,50020.0,27032.0,36872.0,0.5
26,55528.0,50208.0,27692.0,36288.0,0.52
27,53736.0,50712.0,28764.0,34896.0,0.54
28,51704.0,52200.0,30016.0,32420.0,0.56
29,49792.0,53864.0,26528.0,30152.0,0.58
30,48008.0,55256.0,21114.0,34584.0,0.6
31,46440.0,55720.0,28164.0,30984.0,0.62
32,45344.0,56008.0,27620.0,33712.0,0.64
33,45064.0,57256.0,27232.0,33132.0,0.66
34,45360.0,58244.0,27328.0,33048.0,0.68
35,44408.0,59192.0,27192.0,32900.0,0.7
36,41844.0,59304.0,27180.0,32764.0,0.72
37,39192.0,59780.0,27360.0,32774.0,0.74
38,38048.0,60056.0,27360.0,32736.0,0.76
39,37808.0,61164.0,27312.0,32648.0,0.78
40,37448.0,61600.0,27344.0,32816.0,0.8
41,36268.0,62040.0,27400.0,32728.0,0.82
42,33904.0,62440.0,27440.0,32760.0,0.84
43,31232.0,62772.0,27400.0,32696.0,0.86
44,29072.0,63008.0,27380.0,32756.0,0.88
45,27212.0,62816.0,27396.0,32840.0,0.9
46,25508.0,62504.0,27420.0,32728.0,0.92
47,23948.0,62400.0,27372.0,32768.0,0.94
48,22680.0,62816.0,27312.0,32736.0,0.96
49,21852.0,63208.0,27328.0,32740.0,0.98
50,21584.0,63256.0,27264.0,32616.0,1.0
51,21624.0,63368.0,27260.0,32592.0,1.02
52,22024.0,63480.0,27176.0,32604.0,1.04
53,23196.0,63584.0,26792.0,32392.0,1.06
54,24956.0,62528.0,26288.0,32448.0,1.08
55,26796.0,60384.0,25444.0,32788.0,1.1
56,28396.0,56368.0,24032.0,32264.0,1.12
57,29600.0,52240.0,25440.0,32904.0,1.14
58,30304.0,48260.0,28052.0,33128.0,1.16
59,30424.0,45000.0,30360.0,35612.0,1.18
60,30816.0,43312.0,28304.0,35060.0,1.2
61,31552.0,45744.0,25121.0,34068.0,1.22
62,31864.0,48816.0,21728.0,33088.0,1.24
63,32520.0,51064.0,20881.0,31280.0,1.26
64,33428.0,52488.0,23828.0,31128.0,1.28
65,34560.0,54120.0,26600.0,28284.0,1.3
66,36364.0,55592.0,32000.0,32084.0,1.32
67,38496.0,56992.0,34480.0,24352.0,1.34
68,40208.0,58056.0,30784.0,27060.0,1.36
69,41268.0,57712.0,31928.0,28216.0,1.38
70,40644.0,58712.0,31356.0,31064.0,1.4
71,39016.0,59248.0,28992.0,30624.0,1.42
72,37196.0,57912.0,27680.0,31668.0,1.44
73,35152.0,52640.0,27064.0,33528.0,1.46
74,32816.0,45868.0,25216.0,34436.0,1.48
75,29684.0,40376.0,26148.0,37384.0,1.5
76,25856.0,36380.0,26680.0,41264.0,1.52
77,22584.0,32792.0,26692.0,43324.0,1.54
78,19900.0,28772.0,28752.0,44608.0,1.56
79,19232.0,26536.0,28108.0,41220.0,1.58
80,22140.0,26228.0,27376.0,39980.0,1.6
81,27472.0,26552.0,27484.0,40352.0,1.62
82,32512.0,25580.0,25516.0,36696.0,1.64
83,36860.0,24872.0,26092.0,35868.0,1.66
84,39560.0,25584.0,27052.0,33448.0,1.68
85,40344.0,25864.0,22204.0,41328.0,1.7
86,39444.0,26304.0,19076.0,26760.0,1.72
87,37272.0,24724.0,23448.0,32080.0,1.74
88,34712.0,21848.0,25356.0,32748.0,1.76
89,32648.0,19380.0,27520.0,32760.0,1.78
90,31504.0,18656.0,29376.0,34488.0,1.8
91,31240.0,18346.0,24184.0,33072.0,1.82
92,30908.0,17048.0,26464.0,32952.0,1.84
93,30200.0,15040.0,27432.0,33532.0,1.86
94,29536.0,13476.0,27416.0,33256.0,1.88
95,28956.0,12944.0,27488.0,33348.0,1.9
96,27920.0,12085.0,27340.0,33056.0,1.92
97,26376.0,10544.0,27068.0,33184.0,1.94
98,24196.0,9344.0,27164.0,32944.0,1.96
99,22300.0,8141.0,27180.0,33296.0,1.98
100,21104.0,7246.0,26792.0,33064.0,2.0
101,19832.0,6451.0,25960.0,32824.0,2.02
102,18328.0,5668.0,25928.0,32608.0,2.04
103,17184.0,4948.0,26564.0,32680.0,2.06
104,16380.0,4630.0,29444.0,34688.0,2.08
105,16368.0,5570.0,28352.0,34800.0,2.1
106,18292.0,8342.0,26368.0,34512.0,2.12
107,21650.0,13356.0,23776.0,32776.0,2.14
108,25432.0,20056.0,23448.0,34256.0,2.16
109,28360.0,25704.0,20232.0,32424.0,2.18
110,29868.0,30504.0,19624.0,29136.0,2.2
111,31204.0,34844.0,24208.0,32264.0,2.22
112,34268.0,36936.0,26864.0,30552.0,2.24
113,38240.0,38080.0,40412.0,25040.0,2.26
114,40772.0,39276.0,34468.0,24049.0,2.28
115,40696.0,40680.0,31888.0,24380.0,2.3
116,39716.0,40328.0,32880.0,27924.0,2.32
117,38492.0,42376.0,31248.0,30024.0,2.34
118,36644.0,44504.0,28752.0,31488.0,2.36
119,35360.0,41300.0,27508.0,34468.0,2.38
120,33804.0,36584.0,26336.0,35964.0,2.4
121,29796.0,32248.0,24892.0,37612.0,2.42
122,25872.0,29912.0,25928.0,41144.0,2.44
